node,potential_EW_temperate
AL0 0,381441.1875
AT0 0,3512306.4375
BA0 0,546775.5
BE0 0,2072578.875
BG0 0,2387836.125
CH0 0,1397066.25
CZ0 0,8019071.4375
DE0 0,35956842.9375
DK0 0,93936.0
DK1 0,136829.0625
EE0 0,0.0
ES0 0,4171094.4375
ES6 0,57570.5625
FI1 0,0.0
FR0 0,47667614.625
FR5 0,11529.5625
GB2 0,17863463.8125
GB3 0,97161.1875
GR0 0,361221.0
HR0 0,1217517.9375
HU0 0,4780461.75
IE3 0,1089978.1875
IT0 0,17403304.875
IT4 0,428602.3125
LT0 0,830958.9375
LU0 0,73928.25
LV0 0,0.0
ME0 0,2510.625
MK0 0,82792.6875
NL0 0,2213367.0
NO1 0,11761.3125
PL0 0,40681047.375
PT0 0,956586.75
RO0 0,7101013.125
RS0 0,3156744.0
SE1 0,314890.3125
SI0 0,352781.4375
SK0 0,3600622.5
XK0 0,714.5625
